filename,skin_tone,undertone
img2754.jpg,light,cool
img6254.jpg,dark,warm
img5985.jpg,light,unclassified
img4443.jpg,medium,warm
img5749.jpg,medium,neutral
img5991.jpg,light,cool
img3338.jpg,medium,warm
img4457.jpg,medium,warm
img6526.jpg,medium,unclassified
img7638.jpg,medium,neutral
img2740.jpg,medium,warm
img1261.jpg,medium,warm
img3476.jpg,light,unclassified
img5761.jpg,medium,unclassified
img7176.jpg,medium,warm
img7162.jpg,medium,neutral
img1513.jpg,medium,neutral
img1275.jpg,light,warm
img7604.jpg,medium,warm
img3489.jpg,medium,neutral
img5946.jpg,light,unclassified
img4480.jpg,light,unclassified
img6297.jpg,medium,unclassified
img5952.jpg,medium,unclassified
img4494.jpg,medium,neutral
img2783.jpg,light,warm
img2967.jpg,light,unclassified
img4641.jpg,medium,unclassified
img4899.jpg,medium,warm
img6056.jpg,medium,warm
img7348.jpg,medium,warm
img6730.jpg,medium,warm
img5239.jpg,medium,unclassified
img4133.jpg,medium,unclassified
img6724.jpg,medium,warm
img4655.jpg,medium,warm
img1705.jpg,medium,warm
img5563.jpg,medium,neutral
img3674.jpg,medium,warm
img22.jpg,medium,unclassified
img7406.jpg,medium,unclassified
img5211.jpg,medium,warm
img3660.jpg,medium,warm
img36.jpg,medium,warm
img4669.jpg,medium,cool
img482.jpg,medium,warm
img4682.jpg,medium,warm
img3853.jpg,medium,warm
img1088.jpg,medium,warm
img2581.jpg,light,cool
img1936.jpg,light,warm
img4866.jpg,light,neutral
img327.jpg,medium,warm
img6903.jpg,light,warm
img441.jpg,medium,neutral
img4735.jpg,medium,unclassified
img6122.jpg,medium,warm
img4053.jpg,dark,warm
img5359.jpg,medium,warm
img6650.jpg,dark,warm
img6888.jpg,dark,unclassified
img7228.jpg,medium,neutral
img1659.jpg,medium,warm
img6136.jpg,light,warm
img7200.jpg,medium,warm
img5371.jpg,light,unclassified
img6678.jpg,medium,warm
img1117.jpg,light,unclassified
img7566.jpg,medium,unclassified
img290.jpg,medium,neutral
img7572.jpg,medium,cool
img3714.jpg,dark,warm
img5365.jpg,medium,neutral
img5403.jpg,medium,unclassified
img2387.jpg,medium,warm
img3927.jpg,light,unclassified
img7599.jpg,medium,neutral
img6687.jpg,medium,warm
img6693.jpg,medium,warm
img4084.jpg,medium,unclassified
img2393.jpg,medium,warm
img247.jpg,medium,warm
img535.jpg,light,unclassified
img904.jpg,light,cool
img4523.jpg,light,warm
img2152.jpg,medium,unclassified
img6452.jpg,dark,neutral
img2634.jpg,medium,unclassified
img1473.jpg,medium,unclassified
img7002.jpg,medium,warm
img1467.jpg,medium,warm
img7016.jpg,dark,unclassified
img5601.jpg,medium,neutral
img5167.jpg,medium,warm
img2608.jpg,medium,warm
img1301.jpg,light,neutral
img5832.jpg,dark,unclassified
img2191.jpg,medium,warm
img5826.jpg,medium,warm
img5198.jpg,medium,cool
img723.jpg,light,cool
img737.jpg,medium,unclassified
img736.jpg,medium,unclassified
img722.jpg,light,neutral
img5827.jpg,medium,neutral
img2190.jpg,medium,warm
img6490.jpg,medium,warm
img3271.jpg,medium,warm
img7017.jpg,medium,unclassified
img6309.jpg,medium,unclassified
img2609.jpg,medium,warm
img7003.jpg,dark,neutral
img1472.jpg,dark,neutral
img939.jpg,medium,unclassified
img5614.jpg,medium,cool
img3265.jpg,medium,warm
img6335.jpg,medium,unclassified
img4522.jpg,light,neutral
img6453.jpg,medium,unclassified
img6447.jpg,medium,warm
img4250.jpg,medium,warm
img5628.jpg,light,cool
img3259.jpg,medium,unclassified
img6321.jpg,medium,warm
img252.jpg,medium,warm
img4907.jpg,dark,warm
img4913.jpg,medium,unclassified
img6862.jpg,medium,warm
img4085.jpg,medium,neutral
img3932.jpg,medium,unclassified
img2392.jpg,medium,unclassified
img7598.jpg,medium,warm
img4091.jpg,light,unclassified
img7573.jpg,medium,warm
img1102.jpg,medium,unclassified
img5402.jpg,medium,neutral
img4708.jpg,light,cool
img1670.jpg,medium,unclassified
img7201.jpg,medium,warm
img7567.jpg,medium,warm
img6679.jpg,light,warm
img3701.jpg,medium,warm
img6889.jpg,medium,warm
img6651.jpg,medium,warm
img6137.jpg,light,neutral
img1880.jpg,medium,warm
img7229.jpg,medium,unclassified
img6123.jpg,medium,unclassified
img1894.jpg,medium,warm
img4734.jpg,medium,unclassified
img6645.jpg,medium,warm
img6902.jpg,medium,warm
img4873.jpg,medium,unclassified
img440.jpg,medium,warm
img332.jpg,medium,neutral
img1089.jpg,medium,neutral
img4697.jpg,medium,unclassified
img6094.jpg,medium,warm
img37.jpg,medium,warm
img3661.jpg,medium,warm
img1076.jpg,light,unclassified
img7407.jpg,medium,unclassified
img7361.jpg,medium,warm
img1710.jpg,light,unclassified
img3107.jpg,medium,warm
img4668.jpg,light,warm
img5562.jpg,medium,warm
img3113.jpg,medium,warm
img7375.jpg,medium,warm
img1704.jpg,medium,warm
img23.jpg,medium,unclassified
img5204.jpg,medium,warm
img6725.jpg,light,warm
img4132.jpg,dark,cool
